Enzyme NextGen-A,,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-B,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-C,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-D,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-E,,,,,,,,,,,,,,,,,,,
,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,
4890,,,,,,,,499.58,984.308,1784.235,,,,,,,,499.632,984.435,1783.408,,,,,,,,496.979,967.423,1672.583,,,,,,,,496.884,967.567,1672.833,,,,,,,,,994.797,1880.483,,,,,,,,,994.68,1879.509,,,,,,,,,998.397,1942.934,,,,,,,,,998.4,1942.641,,,,,,,,,999.094,1958.522,,,,,,,,,999.054,1958.733
4891,,,,,,,,499.852,984.343,1784.292,,,,,,,,499.546,984.079,1783.963,,,,,,,,496.964,967.213,1673.083,,,,,,,,496.884,967.785,1672.097,,,,,,,,,994.928,1880.634,,,,,,,,,994.976,1879.36,,,,,,,,,998.227,1941.909,,,,,,,,,998.649,1942.857,,,,,,,,,998.925,1958.399,,,,,,,,,999.187,1958.356
4892,,,,,,,,499.631,984.564,1783.836,,,,,,,,499.613,984.481,1783.89,,,,,,,,496.998,967.402,1672.548,,,,,,,,497.184,967.499,1672.594,,,,,,,,,994.776,1879.247,,,,,,,,,994.591,1879.292,,,,,,,,,998.339,1942.724,,,,,,,,,997.945,1943.119,,,,,,,,,999.431,1958.951,,,,,,,,,999.622,1958.96
4893,,,,,,,,499.576,984.584,1784.84,,,,,,,,499.681,984.361,1784.174,,,,,,,,496.888,967.586,1672.751,,,,,,,,497.237,967.64,1672.262,,,,,,,,,994.76,1880.51,,,,,,,,,994.723,1880.014,,,,,,,,,998.462,1942.403,,,,,,,,,997.905,1943.165,,,,,,,,,999.369,1959.257,,,,,,,,,999.42,1958.794
4894,,,,,,,,499.637,984.774,1784.712,,,,,,,,499.827,984.634,1783.791,,,,,,,,497.167,967.559,1673.445,,,,,,,,497.061,967.708,1673.37,,,,,,,,,994.859,1880.616,,,,,,,,,994.485,1880.379,,,,,,,,,998.079,1942.499,,,,,,,,,998.587,1942.802,,,,,,,,,999.702,1958.698,,,,,,,,,999.604,1958.46
4895,,,,,,,,499.51,984.034,1783.725,,,,,,,,499.873,984.077,1784.889,,,,,,,,497.237,967.847,1673.123,,,,,,,,497.208,967.701,1673.204,,,,,,,,,994.88,1880.4,,,,,,,,,994.818,1880.756,,,,,,,,,998.55,1942.992,,,,,,,,,998.079,1942.431,,,,,,,,,999.276,1958.822,,,,,,,,,999.658,1958.371
4896,,,,,,,,499.613,984.436,1783.785,,,,,,,,499.505,984.328,1783.952,,,,,,,,497.082,967.643,1672.625,,,,,,,,497.067,967.574,1673.864,,,,,,,,,994.593,1880.22,,,,,,,,,994.309,1880.675,,,,,,,,,998.322,1942.622,,,,,,,,,997.875,1942.722,,,,,,,,,999.072,1958.899,,,,,,,,,999.066,1959.138
4897,,,,,,,,499.816,984.805,1784.916,,,,,,,,499.615,984.521,1784.108,,,,,,,,496.977,967.162,1673.962,,,,,,,,497.185,967.191,1673.026,,,,,,,,,994.327,1879.556,,,,,,,,,995.069,1880.374,,,,,,,,,998.251,1942.873,,,,,,,,,998.606,1942.535,,,,,,,,,998.953,1958.188,,,,,,,,,998.972,1959.573
4898,,,,,,,,499.857,984.314,1784.275,,,,,,,,499.623,984.823,1784.52,,,,,,,,497.28,967.565,1673.34,,,,,,,,497.251,967.58,1673.086,,,,,,,,,994.698,1880.546,,,,,,,,,994.976,1880.126,,,,,,,,,998.569,1943.354,,,,,,,,,998.285,1943.095,,,,,,,,,999.683,1959.207,,,,,,,,,998.906,1959.469
4899,,,,,,,,499.801,984.594,1785.433,,,,,,,,499.788,984.715,1785.037,,,,,,,,497.278,967.255,1672.998,,,,,,,,496.959,967.623,1673.391,,,,,,,,,994.571,1880.14,,,,,,,,,995.043,1880.671,,,,,,,,,997.917,1942.586,,,,,,,,,998.474,1942.007,,,,,,,,,999.011,1959.469,,,,,,,,,999.546,1958.747
4900,,,,,,,,499.672,984.794,1784.98,,,,,,,,499.59,984.1,1784.684,,,,,,,,497.036,967.31,1673.453,,,,,,,,496.895,967.29,1673.845,,,,,,,,,994.866,1879.928,,,,,,,,,994.945,1881.057,,,,,,,,,998.017,1942.864,,,,,,,,,998.383,1942.68,,,,,,,,,998.973,1959.283,,,,,,,,,998.955,1959.129
4901,,,,,,,,499.529,984.476,1784.627,,,,,,,,499.524,984.764,1785.031,,,,,,,,497.193,967.733,1673.738,,,,,,,,497.054,967.419,1674.154,,,,,,,,,994.344,1880.492,,,,,,,,,995.094,1880.045,,,,,,,,,998.137,1943.378,,,,,,,,,997.948,1942.732,,,,,,,,,999.095,1958.763,,,,,,,,,999.14,1958.168
4902,,,,,,,,499.837,984.193,1784.813,,,,,,,,499.739,984.32,1785.655,,,,,,,,497.127,967.528,1674.225,,,,,,,,497.183,967.501,1674.004,,,,,,,,,994.991,1880.684,,,,,,,,,994.9,1880.889,,,,,,,,,998.656,1942.941,,,,,,,,,998.37,1943.21,,,,,,,,,999.511,1959.725,,,,,,,,,999.09,1958.214
4903,,,,,,,,499.802,984.324,1784.536,,,,,,,,499.799,984.87,1785,,,,,,,,497.183,967.919,1674.127,,,,,,,,496.999,968.012,1674.062,,,,,,,,,994.574,1880.676,,,,,,,,,994.446,1880.816,,,,,,,,,998.103,1943.511,,,,,,,,,998.532,1942.657,,,,,,,,,999.31,1959.775,,,,,,,,,999.148,1958.556
4904,,,,,,,,499.767,984.382,1785.365,,,,,,,,499.673,984.261,1785.627,,,,,,,,497.299,967.356,1673.593,,,,,,,,497.074,967.436,1673.988,,,,,,,,,994.347,1880.704,,,,,,,,,994.541,1880.94,,,,,,,,,998.062,1942.199,,,,,,,,,998.62,1943.129,,,,,,,,,998.993,1958.961,,,,,,,,,999.229,1959.679
4905,,,,,,,,499.798,984.323,1784.646,,,,,,,,499.795,984.742,1785.996,,,,,,,,496.925,967.668,1673.653,,,,,,,,496.927,968.1,1674.817,,,,,,,,,994.929,1881.106,,,,,,,,,994.906,1880.133,,,,,,,,,998.705,1943.322,,,,,,,,,998.532,1943.67,,,,,,,,,999.434,1958.917,,,,,,,,,999.392,1958.972
4906,,,,,,,,499.822,984.575,1784.82,,,,,,,,499.889,984.947,1785.834,,,,,,,,497.165,967.618,1673.94,,,,,,,,497.26,967.525,1674.629,,,,,,,,,994.511,1881.117,,,,,,,,,994.958,1881.37,,,,,,,,,998.197,1942.821,,,,,,,,,998.369,1942.996,,,,,,,,,999.502,1958.713,,,,,,,,,999.643,1958.669
4907,,,,,,,,499.733,984.523,1785.659,,,,,,,,499.737,984.9,1784.845,,,,,,,,497.17,968.108,1674.302,,,,,,,,497.248,967.756,1674.85,,,,,,,,,995.107,1881.085,,,,,,,,,994.452,1881.598,,,,,,,,,998.5,1942.314,,,,,,,,,998.674,1943.38,,,,,,,,,999.507,1958.596,,,,,,,,,999.6,1959.48
4908,,,,,,,,499.848,984.29,1786.276,,,,,,,,499.663,984.628,1785.936,,,,,,,,497.016,967.892,1674.188,,,,,,,,497.235,967.875,1675.118,,,,,,,,,994.554,1881.576,,,,,,,,,994.535,1881.271,,,,,,,,,998.56,1942.322,,,,,,,,,998.548,1943.548,,,,,,,,,999.031,1959.026,,,,,,,,,999.686,1958.945
4909,,,,,,,,499.793,984.504,1785.861,,,,,,,,499.783,984.255,1785.386,,,,,,,,497.268,967.932,1674.376,,,,,,,,497.271,968.175,1674.178,,,,,,,,,995.157,1880.359,,,,,,,,,994.985,1881.552,,,,,,,,,998.552,1942.351,,,,,,,,,998.562,1942.811,,,,,,,,,999.661,1959.14,,,,,,,,,999.077,1959.002
4910,,,,,,,,499.84,984.853,1785.814,,,,,,,,499.679,984.529,1785.564,,,,,,,,496.963,967.931,1675.205,,,,,,,,497.125,967.712,1674.564,,,,,,,,,995.022,1881.843,,,,,,,,,995.102,1881.113,,,,,,,,,998.648,1943.777,,,,,,,,,998.51,1942.446,,,,,,,,,999.381,1958.56,,,,,,,,,999.036,1959.204
4911,,,,,,,,499.909,984.579,1785.376,,,,,,,,499.79,984.788,1786.609,,,,,,,,497.312,968.148,1675.651,,,,,,,,497.143,967.942,1675.577,,,,,,,,,994.63,1880.616,,,,,,,,,995.081,1881.981,,,,,,,,,998.711,1943.711,,,,,,,,,998.663,1942.641,,,,,,,,,999.157,1959.31,,,,,,,,,999.48,1959.848
4912,,,,,,,,499.694,984.803,1786.701,,,,,,,,499.769,984.716,1785.548,,,,,,,,497.19,967.54,1674.727,,,,,,,,497.274,967.806,1675.069,,,,,,,,,994.581,1881.98,,,,,,,,,995.11,1881.126,,,,,,,,,997.968,1943.416,,,,,,,,,998.6,1942.766,,,,,,,,,998.948,1958.656,,,,,,,,,999.164,1958.729
4913,,,,,,,,499.738,984.616,1786.4,,,,,,,,499.522,984.477,1786.754,,,,,,,,497.276,967.515,1675.419,,,,,,,,497.224,968.254,1675.461,,,,,,,,,994.431,1880.738,,,,,,,,,994.823,1880.916,,,,,,,,,998.674,1943.768,,,,,,,,,997.918,1943.473,,,,,,,,,999.585,1959.196,,,,,,,,,999.029,1959.163
4914,,,,,,,,499.875,984.9,1785.71,,,,,,,,499.581,984.376,1786.65,,,,,,,,497.017,968.026,1676.004,,,,,,,,497.177,968.23,1675.011,,,,,,,,,994.533,1880.691,,,,,,,,,994.988,1881.831,,,,,,,,,997.98,1942.557,,,,,,,,,998.304,1944.053,,,,,,,,,998.986,1959.499,,,,,,,,,999.073,1959.783
4915,,,,,,,,499.623,984.298,1786.756,,,,,,,,499.759,984.524,1786.856,,,,,,,,497.031,968.079,1675.969,,,,,,,,497.169,968.16,1674.999,,,,,,,,,994.572,1882.259,,,,,,,,,994.712,1881.36,,,,,,,,,998.058,1943.631,,,,,,,,,997.923,1944.038,,,,,,,,,999.32,1960.012,,,,,,,,,999.535,1959.797
4916,,,,,,,,499.521,984.943,1785.924,,,,,,,,499.678,984.483,1785.925,,,,,,,,497.039,967.727,1675.248,,,,,,,,497.055,968.154,1675.706,,,,,,,,,995.166,1881.37,,,,,,,,,994.52,1881.698,,,,,,,,,998.072,1942.733,,,,,,,,,998.591,1943.504,,,,,,,,,999.135,1959.554,,,,,,,,,999.467,1959.947
4917,,,,,,,,499.834,984.677,1786.848,,,,,,,,499.595,984.672,1786.875,,,,,,,,497.001,968.039,1676.014,,,,,,,,497.001,967.709,1675.695,,,,,,,,,995.106,1881.219,,,,,,,,,995.176,1881.006,,,,,,,,,998.711,1943.932,,,,,,,,,998.53,1942.758,,,,,,,,,999.473,1959.792,,,,,,,,,999.164,1958.688
4918,,,,,,,,499.676,984.992,1786.216,,,,,,,,499.871,984.686,1786.855,,,,,,,,497.27,967.851,1675.846,,,,,,,,497.278,968.096,1676.361,,,,,,,,,994.924,1882.376,,,,,,,,,994.932,1882.033,,,,,,,,,998.42,1943.479,,,,,,,,,998.022,1942.954,,,,,,,,,999.348,1960.237,,,,,,,,,999.331,1960.154
4919,,,,,,,,499.802,984.907,1787.231,,,,,,,,499.877,984.595,1786.126,,,,,,,,497.199,967.743,1675.84,,,,,,,,497.149,968.012,1676.567,,,,,,,,,995.091,1881.848,,,,,,,,,995.111,1881.427,,,,,,,,,998.204,1944.146,,,,,,,,,998.332,1943.905,,,,,,,,,999.655,1960.203,,,,,,,,,998.963,1960.039
4920,,,,,,,,499.618,984.669,1786.09,,,,,,,,499.85,984.501,1786.819,,,,,,,,497.103,967.85,1676.289,,,,,,,,497.022,968.057,1676.084,,,,,,,,,994.432,1881.748,,,,,,,,,994.96,1882.02,,,,,,,,,998.067,1943.99,,,,,,,,,998.264,1942.736,,,,,,,,,999.153,1960.048,,,,,,,,,999.058,1959.488
4921,,,,,,,,499.816,984.87,1786.166,,,,,,,,499.814,984.876,1787.122,,,,,,,,497.272,967.84,1675.548,,,,,,,,497.31,967.739,1675.95,,,,,,,,,995.118,1882.559,,,,,,,,,995.194,1882.638,,,,,,,,,997.99,1943.63,,,,,,,,,998.543,1943.102,,,,,,,,,999.406,1959.011,,,,,,,,,999.188,1959.444
4922,,,,,,,,499.847,984.521,1786.718,,,,,,,,499.663,984.636,1786.596,,,,,,,,497.045,967.868,1676.879,,,,,,,,497.198,967.922,1675.705,,,,,,,,,995.13,1882.45,,,,,,,,,994.689,1882.028,,,,,,,,,998.401,1944.007,,,,,,,,,998.258,1942.994,,,,,,,,,999.089,1959.799,,,,,,,,,999.21,1958.881
4923,,,,,,,,499.712,984.515,1786.399,,,,,,,,499.85,984.801,1787.071,,,,,,,,497.2,968.508,1676.59,,,,,,,,497.249,968.049,1676.815,,,,,,,,,994.824,1882.369,,,,,,,,,995.154,1882.822,,,,,,,,,998.103,1943.227,,,,,,,,,998.05,1944.424,,,,,,,,,999.292,1959.381,,,,,,,,,999.01,1959.301
4924,,,,,,,,499.696,984.571,1787.017,,,,,,,,499.718,984.424,1787.299,,,,,,,,497.051,967.984,1676.08,,,,,,,,497.341,968.195,1676.302,,,,,,,,,994.769,1881.485,,,,,,,,,995.09,1882.046,,,,,,,,,998.329,1943.81,,,,,,,,,998.62,1943.429,,,,,,,,,999.529,1960.378,,,,,,,,,999.469,1959.524
4925,,,,,,,,499.55,984.675,1786.636,,,,,,,,499.59,984.913,1787.162,,,,,,,,496.971,968.082,1676.35,,,,,,,,497.098,968.244,1676.169,,,,,,,,,994.699,1881.983,,,,,,,,,994.551,1882.8,,,,,,,,,998.541,1943.693,,,,,,,,,998.384,1943.191,,,,,,,,,999.561,1959.131,,,,,,,,,999.476,1960.077
4926,,,,,,,,499.525,985.144,1787.351,,,,,,,,499.782,984.554,1787.613,,,,,,,,497.296,968.396,1676.223,,,,,,,,497.229,968.082,1676.416,,,,,,,,,994.667,1882.468,,,,,,,,,994.821,1882.83,,,,,,,,,998.585,1944.139,,,,,,,,,998.739,1943.36,,,,,,,,,999.195,1959.713,,,,,,,,,999.523,1960.435
4927,,,,,,,,499.714,984.53,1787.713,,,,,,,,499.571,984.556,1788.146,,,,,,,,497.2,967.883,1677.439,,,,,,,,496.999,967.918,1677.541,,,,,,,,,995.224,1882.407,,,,,,,,,995.203,1882.615,,,,,,,,,998.423,1944.14,,,,,,,,,998.27,1943.23,,,,,,,,,998.992,1959.396,,,,,,,,,999.49,1959.614
4928,,,,,,,,499.57,984.953,1787.614,,,,,,,,499.545,985.027,1788.036,,,,,,,,497.13,968.524,1677.462,,,,,,,,497.206,968.488,1677.226,,,,,,,,,994.544,1882.41,,,,,,,,,994.627,1881.704,,,,,,,,,998.111,1944.054,,,,,,,,,998.374,1943.393,,,,,,,,,999.258,1959.521,,,,,,,,,998.999,1960.491
4929,,,,,,,,499.588,984.894,1786.986,,,,,,,,499.648,985.223,1787.811,,,,,,,,497,968.205,1676.751,,,,,,,,497.106,968.501,1677.275,,,,,,,,,994.53,1883.114,,,,,,,,,994.848,1882.638,,,,,,,,,997.95,1944.642,,,,,,,,,998.523,1944.642,,,,,,,,,999.746,1960.073,,,,,,,,,999.546,1960.608
4930,,,,,,,,499.643,984.581,1788.364,,,,,,,,499.687,984.724,1787.042,,,,,,,,497.235,968.163,1676.922,,,,,,,,497.279,967.925,1677.898,,,,,,,,,995.205,1882.375,,,,,,,,,994.508,1883.063,,,,,,,,,998.65,1944.466,,,,,,,,,998.416,1944.015,,,,,,,,,999.085,1959.732,,,,,,,,,999.724,1959.317
4931,,,,,,,,499.76,984.988,1787.61,,,,,,,,499.838,984.746,1788.47,,,,,,,,497.124,968.255,1677.947,,,,,,,,497.101,967.95,1677.657,,,,,,,,,994.594,1882.962,,,,,,,,,994.95,1882.697,,,,,,,,,998.631,1944.338,,,,,,,,,997.956,1943.53,,,,,,,,,999.331,1960.511,,,,,,,,,999.461,1959.511
4932,,,,,,,,499.567,985.05,1787.405,,,,,,,,499.726,985.123,1788.609,,,,,,,,497.373,968.517,1677.824,,,,,,,,497.181,968.716,1677.92,,,,,,,,,995.119,1882.395,,,,,,,,,994.794,1882.426,,,,,,,,,998.594,1944.381,,,,,,,,,998.547,1944.03,,,,,,,,,999.093,1959.899,,,,,,,,,999.347,1960.593
4933,,,,,,,,499.862,985.292,1787.635,,,,,,,,499.751,984.827,1788.707,,,,,,,,497.364,968.222,1677.104,,,,,,,,497.321,968.002,1677.846,,,,,,,,,994.67,1882.501,,,,,,,,,995.236,1882.936,,,,,,,,,998.259,1944.199,,,,,,,,,998.369,1943.379,,,,,,,,,999.345,1959.462,,,,,,,,,999.616,1959.627
4934,,,,,,,,499.738,984.993,1788.273,,,,,,,,499.701,985.072,1788.82,,,,,,,,497.29,968.053,1677.203,,,,,,,,497.262,968.014,1678.181,,,,,,,,,994.802,1882.629,,,,,,,,,994.801,1883.059,,,,,,,,,998.447,1943.395,,,,,,,,,998.252,1943.972,,,,,,,,,999.392,1959.676,,,,,,,,,999.086,1960.183
4935,,,,,,,,499.859,984.593,1788.344,,,,,,,,499.719,985.087,1787.765,,,,,,,,497.293,968.712,1677.36,,,,,,,,497.268,968.65,1677.902,,,,,,,,,994.781,1883.602,,,,,,,,,994.995,1882.209,,,,,,,,,998.337,1943.454,,,,,,,,,998.284,1944.897,,,,,,,,,999.46,1960.399,,,,,,,,,999.021,1960.55
4936,,,,,,,,499.772,984.846,1788.7,,,,,,,,499.526,985.286,1788.81,,,,,,,,497.179,968.431,1678.266,,,,,,,,497.021,968.305,1678.154,,,,,,,,,994.569,1882.704,,,,,,,,,994.606,1883.518,,,,,,,,,998.522,1944.811,,,,,,,,,998.606,1944.436,,,,,,,,,999.218,1960.455,,,,,,,,,999.594,1960.477
4937,,,,,,,,499.696,985.332,1789.003,,,,,,,,499.609,985.036,1789.137,,,,,,,,497.038,968.616,1677.611,,,,,,,,497.375,968.273,1677.856,,,,,,,,,994.601,1883.506,,,,,,,,,994.632,1882.346,,,,,,,,,998.468,1944.318,,,,,,,,,998.666,1943.686,,,,,,,,,999.099,1959.715,,,,,,,,,999.64,1959.955
4938,,,,,,,,499.834,984.85,1789.204,,,,,,,,499.883,985.148,1788.623,,,,,,,,497.348,968.703,1678.294,,,,,,,,497.258,968.397,1677.577,,,,,,,,,994.763,1883.737,,,,,,,,,994.788,1883.393,,,,,,,,,998.561,1943.569,,,,,,,,,997.993,1943.605,,,,,,,,,999.061,1960.265,,,,,,,,,998.993,1960.895
4939,,,,,,,,499.617,984.793,1788.722,,,,,,,,499.81,985.063,1788.198,,,,,,,,497.187,968.379,1678.078,,,,,,,,497.278,968.23,1677.823,,,,,,,,,994.577,1883.101,,,,,,,,,994.786,1883.72,,,,,,,,,998.573,1944.12,,,,,,,,,998.46,1943.53,,,,,,,,,999.475,1960.509,,,,,,,,,999.367,1960.771
4940,,,,,,,,499.574,984.709,1788.492,,,,,,,,499.617,985.291,1788.507,,,,,,,,497.153,968.706,1678.622,,,,,,,,497.083,968.479,1678.004,,,,,,,,,995.003,1883.46,,,,,,,,,995.318,1883.269,,,,,,,,,998.509,1944.423,,,,,,,,,998.268,1944.853,,,,,,,,,999.084,1960.653,,,,,,,,,999.041,1959.434
4941,,,,,,,,499.706,984.878,1788.13,,,,,,,,499.733,985.167,1789.431,,,,,,,,497.399,968.897,1678.327,,,,,,,,497.025,968.703,1678.059,,,,,,,,,994.809,1883.047,,,,,,,,,994.833,1883,,,,,,,,,998.777,1944.763,,,,,,,,,998.438,1943.703,,,,,,,,,999.417,1960.656,,,,,,,,,999.361,1959.837
4942,,,,,,,,499.659,984.619,1789.046,,,,,,,,499.543,985.157,1788.622,,,,,,,,497.07,968.716,1678.68,,,,,,,,497.029,968.645,1678.931,,,,,,,,,994.572,1883.778,,,,,,,,,994.776,1883.495,,,,,,,,,998.002,1945.049,,,,,,,,,998.771,1944.155,,,,,,,,,999.033,1960.087,,,,,,,,,998.954,1960.704
4943,,,,,,,,499.695,985.272,1789.523,,,,,,,,499.583,985.373,1788.647,,,,,,,,497.331,968.324,1678.492,,,,,,,,497.411,968.415,1678.589,,,,,,,,,995.015,1883.669,,,,,,,,,995.003,1883.064,,,,,,,,,998.34,1944.634,,,,,,,,,998.275,1944.072,,,,,,,,,999.001,1960.212,,,,,,,,,999.015,1959.601
4944,,,,,,,,499.665,984.666,1789.609,,,,,,,,499.837,984.885,1789.215,,,,,,,,497.256,968.417,1678.85,,,,,,,,497.35,968.696,1679.053,,,,,,,,,995.01,1883.842,,,,,,,,,994.869,1883.455,,,,,,,,,998.285,1943.872,,,,,,,,,998.269,1944.138,,,,,,,,,999.363,1960.814,,,,,,,,,999.209,1960.865
4945,,,,,,,,499.544,985.02,1789.588,,,,,,,,499.709,985.283,1788.949,,,,,,,,497.177,968.385,1679.28,,,,,,,,497.288,968.526,1678.771,,,,,,,,,994.575,1883.883,,,,,,,,,994.753,1883.263,,,,,,,,,998.002,1944.477,,,,,,,,,998.051,1943.781,,,,,,,,,999.229,1960.285,,,,,,,,,999.602,1959.765
4946,,,,,,,,499.745,985.122,1789.687,,,,,,,,499.872,985.34,1789.167,,,,,,,,497.177,968.858,1678.56,,,,,,,,497.087,968.617,1678.954,,,,,,,,,994.622,1883.899,,,,,,,,,995.159,1883.991,,,,,,,,,998.691,1944.716,,,,,,,,,998.637,1944.205,,,,,,,,,999.604,1960.903,,,,,,,,,999.558,1959.987
4947,,,,,,,,499.864,984.789,1789.492,,,,,,,,499.9,984.903,1789.86,,,,,,,,497.058,968.464,1678.626,,,,,,,,497.109,968.644,1679.046,,,,,,,,,994.82,1883.604,,,,,,,,,994.699,1883.484,,,,,,,,,998.037,1944.632,,,,,,,,,998.423,1944.513,,,,,,,,,999.75,1960.503,,,,,,,,,999.56,1960.434
4948,,,,,,,,499.9,985.385,1788.876,,,,,,,,499.66,985.192,1789.156,,,,,,,,497.426,968.996,1679.895,,,,,,,,497.174,968.955,1679.823,,,,,,,,,995.03,1883.225,,,,,,,,,995.096,1883.568,,,,,,,,,998.46,1944.451,,,,,,,,,998.687,1945.056,,,,,,,,,999.16,1960.484,,,,,,,,,999.1,1960.81
4949,,,,,,,,499.592,985.202,1789.347,,,,,,,,499.84,985.427,1788.983,,,,,,,,497.171,968.847,1679.927,,,,,,,,497.121,969.024,1679.964,,,,,,,,,994.602,1883.072,,,,,,,,,994.883,1883.753,,,,,,,,,998.42,1945.415,,,,,,,,,998.419,1944.785,,,,,,,,,999.009,1961.063,,,,,,,,,999.643,1960.6
4950,,,,,,,,499.728,985.248,1789.419,,,,,,,,499.538,984.732,1790.203,,,,,,,,497.235,968.64,1680.332,,,,,,,,497.32,968.915,1679.838,,,,,,,,,995.058,1883.703,,,,,,,,,995.083,1884.502,,,,,,,,,998.78,1944.858,,,,,,,,,998.081,1945.489,,,,,,,,,999.754,1961.263,,,,,,,,,999.151,1960.944
4951,,,,,,,,499.722,985.246,1789.578,,,,,,,,499.839,985.518,1789.191,,,,,,,,497.052,968.727,1679.576,,,,,,,,497.216,968.799,1679.142,,,,,,,,,994.846,1884.459,,,,,,,,,994.956,1883.926,,,,,,,,,998.439,1945.24,,,,,,,,,998.036,1944.81,,,,,,,,,999.746,1961.325,,,,,,,,,999.481,1960.489
4952,,,,,,,,499.819,985.024,1790.087,,,,,,,,499.606,984.852,1789.309,,,,,,,,497.307,968.616,1679.64,,,,,,,,497.367,968.706,1679.811,,,,,,,,,995.146,1883.512,,,,,,,,,994.965,1883.306,,,,,,,,,998.1,1945.425,,,,,,,,,998.013,1944.459,,,,,,,,,999.665,1960.98,,,,,,,,,999.478,1959.901
4953,,,,,,,,499.675,984.956,1789.957,,,,,,,,499.899,985.009,1789.985,,,,,,,,497.288,968.855,1680.045,,,,,,,,497.278,968.707,1680.408,,,,,,,,,994.637,1883.511,,,,,,,,,994.725,1883.697,,,,,,,,,998.551,1944.839,,,,,,,,,998.019,1945.283,,,,,,,,,998.965,1960.73,,,,,,,,,999.384,1960.104
4954,,,,,,,,499.609,985.036,1790.338,,,,,,,,499.791,985.4,1789.755,,,,,,,,497.218,968.658,1680.441,,,,,,,,497.175,968.63,1679.816,,,,,,,,,994.663,1884.583,,,,,,,,,995.306,1884.403,,,,,,,,,998.778,1944.344,,,,,,,,,998.148,1944.506,,,,,,,,,999.146,1960.209,,,,,,,,,999.239,1961.388
4955,,,,,,,,499.724,985.317,1789.878,,,,,,,,499.726,985.234,1790.214,,,,,,,,497.095,968.973,1680.142,,,,,,,,497.285,969.094,1679.654,,,,,,,,,994.774,1884.629,,,,,,,,,994.979,1884.064,,,,,,,,,998.491,1945.561,,,,,,,,,998.753,1944.699,,,,,,,,,999.651,1960.002,,,,,,,,,999.558,1961.031
4956,,,,,,,,499.873,985.246,1790.418,,,,,,,,499.912,985.444,1790.796,,,,,,,,497.426,969.192,1679.716,,,,,,,,497.388,968.522,1680.821,,,,,,,,,995.404,1883.667,,,,,,,,,995.317,1884.915,,,,,,,,,998.312,1945.52,,,,,,,,,998.279,1944.843,,,,,,,,,999.174,1960.924,,,,,,,,,999.289,1961.377
4957,,,,,,,,499.67,985.543,1789.957,,,,,,,,499.66,985.405,1790.296,,,,,,,,497.225,969.192,1681.144,,,,,,,,497.193,968.617,1680.002,,,,,,,,,994.887,1884.377,,,,,,,,,994.767,1884.639,,,,,,,,,998.164,1944.56,,,,,,,,,998.539,1945.256,,,,,,,,,999.724,1960.448,,,,,,,,,999.547,1960.229
4958,,,,,,,,499.576,985.02,1790.725,,,,,,,,499.865,985.045,1790.661,,,,,,,,497.316,968.734,1680.874,,,,,,,,497.376,969.151,1680.337,,,,,,,,,994.725,1884.97,,,,,,,,,994.729,1884.063,,,,,,,,,998.257,1944.535,,,,,,,,,998.717,1945.107,,,,,,,,,999.142,1960.529,,,,,,,,,999.098,1960.204
4959,,,,,,,,499.71,985.354,1791.049,,,,,,,,499.543,985.08,1791.192,,,,,,,,497.29,968.903,1680.424,,,,,,,,497.165,969.232,1681.082,,,,,,,,,995.239,1884.856,,,,,,,,,995.396,1885.171,,,,,,,,,998.81,1945.109,,,,,,,,,998.757,1945.305,,,,,,,,,999.745,1960.187,,,,,,,,,999.684,1960.393
4960,,,,,,,,499.641,985.311,1791.327,,,,,,,,499.685,985.213,1790.279,,,,,,,,497.42,969.038,1681.317,,,,,,,,497.146,969.296,1681.493,,,,,,,,,994.822,1884.711,,,,,,,,,995.33,1884.13,,,,,,,,,998.135,1945.241,,,,,,,,,998.573,1944.788,,,,,,,,,999.148,1960.177,,,,,,,,,999.505,1960.846
4961,,,,,,,,499.705,985.285,1790.732,,,,,,,,499.782,985.545,1790.38,,,,,,,,497.084,969.301,1681.529,,,,,,,,497.439,969.009,1680.503,,,,,,,,,994.661,1884.083,,,,,,,,,995.181,1884.516,,,,,,,,,998.069,1945.883,,,,,,,,,998.309,1945.503,,,,,,,,,999.003,1960.793,,,,,,,,,999.5,1961.152
4962,,,,,,,,499.726,985.377,1791.291,,,,,,,,499.666,985.261,1790.98,,,,,,,,497.25,968.881,1681.602,,,,,,,,497.31,968.811,1681.133,,,,,,,,,994.875,1885.18,,,,,,,,,995.046,1884.517,,,,,,,,,998.096,1944.63,,,,,,,,,998.264,1945.595,,,,,,,,,999.601,1961.198,,,,,,,,,999.041,1960.182
