"NovelEnzymes, Inc",,,,,,,,,,
Reference Data (Clean),,,,,,,,,,
Enzyme: PGO-X50,,,,,,,,,,
,,,,,,,,,,
Assay number (test),1,2,3,4,5,6,7,8,9,10
984,3.749,7.498,14.995,29.969,64.823,124.173,243.442,457.283,747.817,1089.765
985,3.749,7.498,14.995,29.97,64.824,124.177,243.466,457.389,748.17,1090.493
986,3.749,7.498,14.995,29.97,64.825,124.182,243.491,457.496,748.522,1091.221
987,3.749,7.498,14.995,29.97,64.826,124.186,243.515,457.602,748.874,1091.947
988,3.749,7.498,14.995,29.97,64.827,124.19,243.539,457.708,749.225,1092.673
989,3.749,7.498,14.995,29.97,64.828,124.194,243.562,457.813,749.576,1093.399
990,3.749,7.498,14.995,29.971,64.829,124.198,243.586,457.919,749.926,1094.124
991,3.749,7.498,14.995,29.971,64.83,124.202,243.61,458.024,750.276,1094.848
992,3.749,7.498,14.995,29.971,64.831,124.206,243.633,458.128,750.626,1095.572
993,3.749,7.498,14.995,29.971,64.832,124.21,243.657,458.233,750.975,1096.295
994,3.749,7.498,14.995,29.971,64.833,124.214,243.68,458.337,751.323,1097.018
995,3.749,7.498,14.995,29.972,64.834,124.218,243.704,458.441,751.671,1097.74
996,3.749,7.498,14.995,29.972,64.835,124.222,243.727,458.545,752.018,1098.462
997,3.749,7.498,14.995,29.972,64.836,124.226,243.75,458.649,752.365,1099.183
998,3.749,7.498,14.995,29.972,64.837,124.23,243.773,458.752,752.712,1099.903
999,3.749,7.498,14.995,29.972,64.838,124.234,243.796,458.855,753.058,1100.623
1000,3.749,7.498,14.995,29.973,64.839,124.238,243.819,458.958,753.403,1101.342
1001,3.749,7.498,14.995,29.973,64.84,124.242,243.842,459.06,753.748,1102.061
1002,3.749,7.498,14.996,29.973,64.841,124.246,243.865,459.162,754.093,1102.779
1003,3.749,7.498,14.996,29.973,64.842,124.249,243.887,459.264,754.437,1103.496
1004,3.749,7.498,14.996,29.973,64.843,124.253,243.91,459.366,754.78,1104.213
1005,3.749,7.498,14.996,29.974,64.844,124.257,243.932,459.467,755.123,1104.93
1006,3.749,7.498,14.996,29.974,64.845,124.261,243.955,459.569,755.466,1105.645
1007,3.749,7.498,14.996,29.974,64.846,124.265,243.977,459.669,755.808,1106.36
1008,3.749,7.498,14.996,29.974,64.846,124.268,243.999,459.77,756.15,1107.075
1009,3.749,7.498,14.996,29.974,64.847,124.272,244.022,459.871,756.491,1107.789
1010,3.749,7.498,14.996,29.974,64.848,124.276,244.044,459.971,756.831,1108.503
1011,3.749,7.498,14.996,29.975,64.849,124.279,244.066,460.071,757.172,1109.216
1012,3.749,7.498,14.996,29.975,64.85,124.283,244.088,460.17,757.511,1109.928
1013,3.749,7.498,14.996,29.975,64.851,124.287,244.109,460.27,757.851,1110.64
1014,3.749,7.498,14.996,29.975,64.852,124.29,244.131,460.369,758.189,1111.351
1015,3.749,7.498,14.996,29.975,64.853,124.294,244.153,460.468,758.528,1112.062
1016,3.749,7.498,14.996,29.976,64.854,124.298,244.174,460.567,758.865,1112.772
1017,3.749,7.498,14.996,29.976,64.855,124.301,244.196,460.665,759.203,1113.481
1018,3.749,7.498,14.996,29.976,64.855,124.305,244.217,460.763,759.54,1114.19
1019,3.749,7.498,14.996,29.976,64.856,124.308,244.239,460.861,759.876,1114.898
1020,3.749,7.498,14.996,29.976,64.857,124.312,244.26,460.959,760.212,1115.606
1021,3.749,7.498,14.996,29.976,64.858,124.315,244.281,461.057,760.547,1116.313
1022,3.749,7.498,14.996,29.977,64.859,124.319,244.302,461.154,760.882,1117.02
1023,3.749,7.498,14.996,29.977,64.86,124.322,244.323,461.251,761.217,1117.726
1024,3.749,7.498,14.996,29.977,64.86,124.326,244.344,461.348,761.551,1118.432
1025,3.749,7.498,14.996,29.977,64.861,124.329,244.365,461.444,761.885,1119.137
1026,3.749,7.498,14.996,29.977,64.862,124.333,244.386,461.54,762.218,1119.841
1027,3.749,7.498,14.996,29.977,64.863,124.336,244.407,461.636,762.55,1120.545
1028,3.749,7.498,14.996,29.978,64.864,124.339,244.427,461.732,762.883,1121.248
1029,3.749,7.498,14.996,29.978,64.865,124.343,244.448,461.828,763.214,1121.951
1030,3.749,7.498,14.996,29.978,64.865,124.346,244.468,461.923,763.546,1122.653
1031,3.749,7.498,14.996,29.978,64.866,124.349,244.489,462.018,763.876,1123.355
1032,3.749,7.498,14.996,29.978,64.867,124.353,244.509,462.113,764.207,1124.056
1033,3.749,7.498,14.997,29.978,64.868,124.356,244.53,462.208,764.537,1124.756
1034,3.749,7.498,14.997,29.978,64.869,124.359,244.55,462.302,764.866,1125.456
1035,3.749,7.498,14.997,29.979,64.869,124.362,244.57,462.396,765.195,1126.155
1036,3.749,7.498,14.997,29.979,64.87,124.366,244.59,462.49,765.524,1126.854
1037,3.749,7.498,14.997,29.979,64.871,124.369,244.61,462.584,765.852,1127.553
1038,3.749,7.498,14.997,29.979,64.872,124.372,244.63,462.677,766.179,1128.25
1039,3.749,7.499,14.997,29.979,64.872,124.375,244.65,462.77,766.506,1128.947
1040,3.749,7.499,14.997,29.979,64.873,124.379,244.669,462.863,766.833,1129.644
1041,3.749,7.499,14.997,29.979,64.874,124.382,244.689,462.956,767.159,1130.34
1042,3.749,7.499,14.997,29.98,64.875,124.385,244.709,463.048,767.485,1131.035
1043,3.749,7.499,14.997,29.98,64.876,124.388,244.728,463.141,767.81,1131.73
1044,3.749,7.499,14.997,29.98,64.876,124.391,244.748,463.233,768.135,1132.425
1045,3.749,7.499,14.997,29.98,64.877,124.394,244.767,463.325,768.459,1133.118
1046,3.749,7.499,14.997,29.98,64.878,124.397,244.786,463.416,768.783,1133.812
1047,3.749,7.499,14.997,29.98,64.878,124.4,244.806,463.507,769.107,1134.504
1048,3.749,7.499,14.997,29.98,64.879,124.403,244.825,463.599,769.43,1135.196
1049,3.749,7.499,14.997,29.981,64.88,124.406,244.844,463.689,769.752,1135.888
1050,3.749,7.499,14.997,29.981,64.881,124.409,244.863,463.78,770.075,1136.579
1051,3.749,7.499,14.997,29.981,64.881,124.412,244.882,463.871,770.396,1137.269
1052,3.749,7.499,14.997,29.981,64.882,124.415,244.901,463.961,770.717,1137.959
1053,3.749,7.499,14.997,29.981,64.883,124.418,244.92,464.051,771.038,1138.649
1054,3.749,7.499,14.997,29.981,64.883,124.421,244.939,464.141,771.358,1139.337
1055,3.749,7.499,14.997,29.981,64.884,124.424,244.957,464.23,771.678,1140.026
1056,3.749,7.499,14.997,29.982,64.885,124.427,244.976,464.319,771.998,1140.713
1057,3.749,7.499,14.997,29.982,64.886,124.43,244.994,464.408,772.317,1141.401
1058,3.749,7.499,14.997,29.982,64.886,124.433,245.013,464.497,772.635,1142.087
1059,3.749,7.499,14.997,29.982,64.887,124.436,245.031,464.586,772.953,1142.773
1060,3.749,7.499,14.997,29.982,64.888,124.439,245.05,464.674,773.271,1143.459
1061,3.749,7.499,14.997,29.982,64.888,124.442,245.068,464.763,773.588,1144.144
1062,3.749,7.499,14.997,29.982,64.889,124.444,245.086,464.851,773.905,1144.828
1063,3.749,7.499,14.997,29.982,64.89,124.447,245.104,464.938,774.221,1145.512
1064,3.749,7.499,14.997,29.983,64.89,124.45,245.122,465.026,774.537,1146.195
1065,3.749,7.499,14.997,29.983,64.891,124.453,245.14,465.113,774.853,1146.878
1066,3.749,7.499,14.997,29.983,64.892,124.456,245.158,465.2,775.168,1147.56
1067,3.749,7.499,14.997,29.983,64.892,124.458,245.176,465.287,775.482,1148.242
1068,3.749,7.499,14.997,29.983,64.893,124.461,245.194,465.374,775.796,1148.923
1069,3.749,7.499,14.997,29.983,64.894,124.464,245.212,465.46,776.11,1149.604
1070,3.749,7.499,14.997,29.983,64.894,124.467,245.229,465.547,776.423,1150.284
1071,3.749,7.499,14.997,29.983,64.895,124.469,245.247,465.633,776.736,1150.963
1072,3.749,7.499,14.997,29.983,64.895,124.472,245.265,465.718,777.048,1151.642
1073,3.749,7.499,14.997,29.984,64.896,124.475,245.282,465.804,777.36,1152.321
1074,3.749,7.499,14.997,29.984,64.897,124.477,245.3,465.889,777.672,1152.999
1075,3.749,7.499,14.998,29.984,64.897,124.48,245.317,465.975,777.983,1153.676
1076,3.749,7.499,14.998,29.984,64.898,124.483,245.334,466.06,778.293,1154.353
1077,3.749,7.499,14.998,29.984,64.898,124.485,245.351,466.144,778.603,1155.029
1078,3.749,7.499,14.998,29.984,64.899,124.488,245.369,466.229,778.913,1155.705
1079,3.749,7.499,14.998,29.984,64.9,124.491,245.386,466.313,779.223,1156.38
1080,3.749,7.499,14.998,29.984,64.9,124.493,245.403,466.397,779.531,1157.054
1081,3.749,7.499,14.998,29.984,64.901,124.496,245.42,466.481,779.84,1157.728
1082,3.749,7.499,14.998,29.985,64.901,124.498,245.437,466.565,780.148,1158.402
1083,3.749,7.499,14.998,29.985,64.902,124.501,245.453,466.648,780.455,1159.075
1084,3.749,7.499,14.998,29.985,64.903,124.503,245.47,466.732,780.763,1159.747
1085,3.749,7.499,14.998,29.985,64.903,124.506,245.487,466.815,781.069,1160.419
1086,3.749,7.499,14.998,29.985,64.904,124.508,245.504,466.898,781.376,1161.091
1087,3.749,7.499,14.998,29.985,64.904,124.511,245.52,466.98,781.681,1161.762
1088,3.749,7.499,14.998,29.985,64.905,124.513,245.537,467.063,781.987,1162.432
1089,3.75,7.499,14.998,29.985,64.906,124.516,245.553,467.145,782.292,1163.102
1090,3.75,7.499,14.998,29.985,64.906,124.518,245.57,467.227,782.596,1163.771
1091,3.75,7.499,14.998,29.986,64.907,124.521,245.586,467.309,782.901,1164.44
1092,3.75,7.499,14.998,29.986,64.907,124.523,245.602,467.39,783.204,1165.108
1093,3.75,7.499,14.998,29.986,64.908,124.526,245.619,467.472,783.508,1165.776
1094,3.75,7.499,14.998,29.986,64.908,124.528,245.635,467.553,783.811,1166.443
1095,3.75,7.499,14.998,29.986,64.909,124.531,245.651,467.634,784.113,1167.109
1096,3.75,7.499,14.998,29.986,64.909,124.533,245.667,467.715,784.415,1167.775
1097,3.75,7.499,14.998,29.986,64.91,124.535,245.683,467.795,784.717,1168.441
1098,3.75,7.499,14.998,29.986,64.911,124.538,245.699,467.876,785.018,1169.106
1099,3.75,7.499,14.998,29.986,64.911,124.54,245.715,467.956,785.319,1169.77
1100,3.75,7.499,14.998,29.986,64.912,124.542,245.731,468.036,785.619,1170.434
1101,3.75,7.499,14.998,29.987,64.912,124.545,245.746,468.116,785.919,1171.098
1102,3.75,7.499,14.998,29.987,64.913,124.547,245.762,468.195,786.218,1171.76
1103,3.75,7.499,14.998,29.987,64.913,124.549,245.778,468.275,786.517,1172.423
1104,3.75,7.499,14.998,29.987,64.914,124.552,245.793,468.354,786.816,1173.085
1105,3.75,7.499,14.998,29.987,64.914,124.554,245.809,468.433,787.114,1173.746
1106,3.75,7.499,14.998,29.987,64.915,124.556,245.824,468.512,787.412,1174.407
1107,3.75,7.499,14.998,29.987,64.915,124.558,245.84,468.591,787.71,1175.067
1108,3.75,7.499,14.998,29.987,64.916,124.561,245.855,468.669,788.007,1175.726
1109,3.75,7.499,14.998,29.987,64.916,124.563,245.87,468.747,788.303,1176.386
1110,3.75,7.499,14.998,29.987,64.917,124.565,245.886,468.825,788.599,1177.044
1111,3.75,7.499,14.998,29.987,64.917,124.567,245.901,468.903,788.895,1177.702
1112,3.75,7.499,14.998,29.988,64.918,124.57,245.916,468.981,789.19,1178.36
1113,3.75,7.499,14.998,29.988,64.918,124.572,245.931,469.058,789.485,1179.017
1114,3.75,7.499,14.998,29.988,64.919,124.574,245.946,469.135,789.78,1179.673
1115,3.75,7.499,14.998,29.988,64.919,124.576,245.961,469.213,790.074,1180.329
1116,3.75,7.499,14.998,29.988,64.92,124.578,245.976,469.289,790.368,1180.985
1117,3.75,7.499,14.998,29.988,64.92,124.58,245.991,469.366,790.661,1181.64
1118,3.75,7.499,14.998,29.988,64.921,124.583,246.006,469.443,790.954,1182.294
1119,3.75,7.499,14.998,29.988,64.921,124.585,246.02,469.519,791.246,1182.948
1120,3.75,7.499,14.998,29.988,64.922,124.587,246.035,469.595,791.538,1183.602
1121,3.75,7.499,14.998,29.988,64.922,124.589,246.05,469.671,791.83,1184.254
1122,3.75,7.499,14.998,29.988,64.923,124.591,246.064,469.747,792.121,1184.907
1123,3.75,7.499,14.998,29.988,64.923,124.593,246.079,469.822,792.412,1185.559
1124,3.75,7.499,14.998,29.989,64.923,124.595,246.093,469.898,792.702,1186.21
1125,3.75,7.499,14.998,29.989,64.924,124.597,246.108,469.973,792.992,1186.861
1126,3.75,7.499,14.998,29.989,64.924,124.599,246.122,470.048,793.282,1187.511
1127,3.75,7.499,14.998,29.989,64.925,124.601,246.137,470.122,793.571,1188.161
1128,3.75,7.499,14.998,29.989,64.925,124.603,246.151,470.197,793.86,1188.81
1129,3.75,7.499,14.998,29.989,64.926,124.605,246.165,470.271,794.148,1189.459
1130,3.75,7.499,14.998,29.989,64.926,124.607,246.179,470.346,794.436,1190.107
1131,3.75,7.499,14.998,29.989,64.927,124.609,246.193,470.42,794.724,1190.754
1132,3.75,7.499,14.998,29.989,64.927,124.611,246.207,470.494,795.011,1191.402
1133,3.75,7.499,14.998,29.989,64.927,124.613,246.221,470.567,795.298,1192.048
1134,3.75,7.499,14.998,29.989,64.928,124.615,246.235,470.641,795.584,1192.694
1135,3.75,7.499,14.998,29.989,64.928,124.617,246.249,470.714,795.87,1193.34
1136,3.75,7.499,14.998,29.989,64.929,124.619,246.263,470.787,796.156,1193.985
1137,3.75,7.499,14.998,29.99,64.929,124.621,246.277,470.86,796.441,1194.629
1138,3.75,7.499,14.999,29.99,64.93,124.623,246.291,470.933,796.726,1195.274
1139,3.75,7.499,14.999,29.99,64.93,124.625,246.304,471.005,797.01,1195.917
1140,3.75,7.499,14.999,29.99,64.93,124.627,246.318,471.078,797.294,1196.56
1141,3.75,7.499,14.999,29.99,64.931,124.629,246.332,471.15,797.578,1197.203
1142,3.75,7.499,14.999,29.99,64.931,124.631,246.345,471.222,797.861,1197.845
1143,3.75,7.499,14.999,29.99,64.932,124.632,246.359,471.294,798.144,1198.486
1144,3.75,7.499,14.999,29.99,64.932,124.634,246.372,471.366,798.426,1199.127
1145,3.75,7.499,14.999,29.99,64.932,124.636,246.385,471.437,798.708,1199.767
1146,3.75,7.499,14.999,29.99,64.933,124.638,246.399,471.508,798.99,1200.407
1147,3.75,7.499,14.999,29.99,64.933,124.64,246.412,471.58,799.271,1201.047
1148,3.75,7.499,14.999,29.99,64.934,124.642,246.425,471.651,799.552,1201.686
1149,3.75,7.499,14.999,29.99,64.934,124.644,246.439,471.721,799.832,1202.324
1150,3.75,7.499,14.999,29.99,64.934,124.645,246.452,471.792,800.112,1202.962
1151,3.75,7.499,14.999,29.99,64.935,124.647,246.465,471.862,800.392,1203.599
1152,3.75,7.499,14.999,29.991,64.935,124.649,246.478,471.933,800.671,1204.236
1153,3.75,7.499,14.999,29.991,64.936,124.651,246.491,472.003,800.95,1204.873
1154,3.75,7.499,14.999,29.991,64.936,124.653,246.504,472.073,801.229,1205.508
1155,3.75,7.499,14.999,29.991,64.936,124.654,246.517,472.142,801.507,1206.144
1156,3.75,7.499,14.999,29.991,64.937,124.656,246.53,472.212,801.784,1206.779
1157,3.75,7.499,14.999,29.991,64.937,124.658,246.542,472.281,802.062,1207.413
1158,3.75,7.499,14.999,29.991,64.938,124.66,246.555,472.35,802.339,1208.047
1159,3.75,7.499,14.999,29.991,64.938,124.661,246.568,472.42,802.615,1208.68
1160,3.75,7.499,14.999,29.991,64.938,124.663,246.581,472.488,802.891,1209.313
1161,3.75,7.499,14.999,29.991,64.939,124.665,246.593,472.557,803.167,1209.945
1162,3.75,7.499,14.999,29.991,64.939,124.666,246.606,472.626,803.442,1210.577
1163,3.75,7.499,14.999,29.991,64.939,124.668,246.618,472.694,803.717,1211.208
1164,3.75,7.499,14.999,29.991,64.94,124.67,246.631,472.762,803.992,1211.839
1165,3.75,7.499,14.999,29.991,64.94,124.671,246.643,472.83,804.266,1212.469
1166,3.75,7.499,14.999,29.991,64.94,124.673,246.656,472.898,804.54,1213.099
1167,3.75,7.499,14.999,29.992,64.941,124.675,246.668,472.966,804.814,1213.728
1168,3.75,7.499,14.999,29.992,64.941,124.676,246.68,473.033,805.087,1214.357
1169,3.75,7.499,14.999,29.992,64.942,124.678,246.693,473.1,805.359,1214.985
1170,3.75,7.499,14.999,29.992,64.942,124.68,246.705,473.168,805.632,1215.613
1171,3.75,7.499,14.999,29.992,64.942,124.681,246.717,473.235,805.904,1216.24
1172,3.75,7.499,14.999,29.992,64.943,124.683,246.729,473.301,806.175,1216.867
1173,3.75,7.5,14.999,29.992,64.943,124.685,246.741,473.368,806.446,1217.493
1174,3.75,7.5,14.999,29.992,64.943,124.686,246.753,473.435,806.717,1218.119
1175,3.75,7.5,14.999,29.992,64.944,124.688,246.765,473.501,806.987,1218.744
1176,3.75,7.5,14.999,29.992,64.944,124.689,246.777,473.567,807.257,1219.369
1177,3.75,7.5,14.999,29.992,64.944,124.691,246.789,473.633,807.527,1219.993
1178,3.75,7.5,14.999,29.992,64.945,124.693,246.801,473.699,807.796,1220.617
1179,3.75,7.5,14.999,29.992,64.945,124.694,246.813,473.765,808.065,1221.24
1180,3.75,7.5,14.999,29.992,64.945,124.696,246.825,473.83,808.334,1221.863
1181,3.75,7.5,14.999,29.992,64.946,124.697,246.836,473.895,808.602,1222.485
1182,3.75,7.5,14.999,29.992,64.946,124.699,246.848,473.961,808.87,1223.107
1183,3.75,7.5,14.999,29.992,64.946,124.7,246.86,474.026,809.137,1223.728
1184,3.75,7.5,14.999,29.992,64.947,124.702,246.871,474.091,809.404,1224.349
1185,3.75,7.5,14.999,29.993,64.947,124.703,246.883,474.155,809.671,1224.969
1186,3.75,7.5,14.999,29.993,64.947,124.705,246.894,474.22,809.937,1225.589
1187,3.75,7.5,14.999,29.993,64.948,124.706,246.906,474.284,810.203,1226.208
1188,3.75,7.5,14.999,29.993,64.948,124.708,246.917,474.348,810.468,1226.827
1189,3.75,7.5,14.999,29.993,64.948,124.709,246.929,474.412,810.734,1227.446
1190,3.75,7.5,14.999,29.993,64.948,124.711,246.94,474.476,810.998,1228.063
1191,3.75,7.5,14.999,29.993,64.949,124.712,246.951,474.54,811.263,1228.681
1192,3.75,7.5,14.999,29.993,64.949,124.714,246.962,474.604,811.527,1229.297
1193,3.75,7.5,14.999,29.993,64.949,124.715,246.974,474.667,811.791,1229.914
1194,3.75,7.5,14.999,29.993,64.95,124.717,246.985,474.73,812.054,1230.53
1195,3.75,7.5,14.999,29.993,64.95,124.718,246.996,474.793,812.317,1231.145
1196,3.75,7.5,14.999,29.993,64.95,124.72,247.007,474.856,812.579,1231.76
1197,3.75,7.5,14.999,29.993,64.951,124.721,247.018,474.919,812.842,1232.374
1198,3.75,7.5,14.999,29.993,64.951,124.722,247.029,474.982,813.103,1232.988
1199,3.75,7.5,14.999,29.993,64.951,124.724,247.04,475.044,813.365,1233.601
1200,3.75,7.5,14.999,29.993,64.951,124.725,247.051,475.106,813.626,1234.214
1201,3.75,7.5,14.999,29.993,64.952,124.727,247.062,475.169,813.887,1234.827
1202,3.75,7.5,14.999,29.993,64.952,124.728,247.073,475.231,814.147,1235.439
1203,3.75,7.5,14.999,29.993,64.952,124.729,247.084,475.292,814.407,1236.05
1204,3.75,7.5,14.999,29.993,64.953,124.731,247.094,475.354,814.667,1236.661
1205,3.75,7.5,14.999,29.993,64.953,124.732,247.105,475.416,814.926,1237.271
1206,3.75,7.5,14.999,29.994,64.953,124.733,247.116,475.477,815.185,1237.881
1207,3.75,7.5,14.999,29.994,64.953,124.735,247.126,475.538,815.444,1238.491
1208,3.75,7.5,14.999,29.994,64.954,124.736,247.137,475.599,815.702,1239.1
1209,3.75,7.5,14.999,29.994,64.954,124.738,247.148,475.66,815.96,1239.708
1210,3.75,7.5,14.999,29.994,64.954,124.739,247.158,475.721,816.217,1240.316
1211,3.75,7.5,14.999,29.994,64.955,124.74,247.169,475.782,816.474,1240.924
1212,3.75,7.5,14.999,29.994,64.955,124.742,247.179,475.842,816.731,1241.531
1213,3.75,7.5,14.999,29.994,64.955,124.743,247.19,475.903,816.987,1242.137
1214,3.75,7.5,14.999,29.994,64.955,124.744,247.2,475.963,817.243,1242.743
1215,3.75,7.5,14.999,29.994,64.956,124.745,247.21,476.023,817.499,1243.349
1216,3.75,7.5,14.999,29.994,64.956,124.747,247.221,476.083,817.754,1243.954
1217,3.75,7.5,14.999,29.994,64.956,124.748,247.231,476.142,818.009,1244.558
1218,3.75,7.5,14.999,29.994,64.956,124.749,247.241,476.202,818.264,1245.163
1219,3.75,7.5,14.999,29.994,64.957,124.751,247.251,476.261,818.518,1245.766
1220,3.75,7.5,14.999,29.994,64.957,124.752,247.261,476.321,818.772,1246.369
1221,3.75,7.5,14.999,29.994,64.957,124.753,247.271,476.38,819.026,1246.972
1222,3.75,7.5,14.999,29.994,64.957,124.754,247.282,476.439,819.279,1247.574
